track_name,genre,artist_name,track_id,year,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Baby,Folk,Ariel Pink,2TUdxbIF3rpY887d8m0ZGV,2010,64,0.435,0.622,287427,0.253,0.471,D,0.0941,-14.36,Major,0.0331,92.584,44655,0.336
Hello,Hip-Hop,J. Cole,30Chv2SmIry70YwtmtaKnj,2010,64,0.0774,0.631,219173,0.7,1.19E-05,A,0.106,-8.565,Minor,0.212,159.973,44655,0.329
Baby,Indie,Ariel Pink,2TUdxbIF3rpY887d8m0ZGV,2010,64,0.435,0.622,287427,0.253,0.471,D,0.0941,-14.36,Major,0.0331,92.584,44655,0.336
Hello,Pop,J. Cole,30Chv2SmIry70YwtmtaKnj,2010,64,0.0774,0.631,219173,0.7,1.19E-05,A,0.106,-8.565,Minor,0.212,159.973,44655,0.329
All The Right Moves,Pop,OneRepublic,5XRHGXut00SrJUFmcn2lQF,2010,64,0.284,0.53,238000,0.95,1.01E-05,C,0.211,-3.526,Major,0.0503,146.035,44655,0.733
Hello,Rap,J. Cole,30Chv2SmIry70YwtmtaKnj,2010,64,0.0774,0.631,219173,0.7,1.19E-05,A,0.106,-8.565,Minor,0.212,159.973,44655,0.329
All The Right Moves,Rap,OneRepublic,5XRHGXut00SrJUFmcn2lQF,2010,64,0.284,0.53,238000,0.95,1.01E-05,C,0.211,-3.526,Major,0.0503,146.035,44655,0.733
????,Indie,EggPlantEgg,7J6wLr8qRqLPMeOZlR54NM,2010,64,0.251,0.473,259373,0.488,8.32E-06,C,0.11,-9.979,Major,0.0477,129.523,44655,0.203
Baby,Pop,Ariel Pink,2TUdxbIF3rpY887d8m0ZGV,2010,64,0.435,0.622,287427,0.253,0.471,D,0.0941,-14.36,Major,0.0331,92.584,44655,0.336
Baby,Rock,Ariel Pink,2TUdxbIF3rpY887d8m0ZGV,2010,64,0.435,0.622,287427,0.253,0.471,D,0.0941,-14.36,Major,0.0331,92.584,44655,0.336
